M0-142	2026-09-24T03:37:24.568Z	SCHEDULER #18	meaning-bounds BOUND_KEY lacks max; gates docFacing reads comments
M0-143	2026-09-24T03:37:24.568Z	SCHEDULER #18	meaning-bounds BOUND_KEY lacks max; gates docFacing reads comments
M0-144	2026-09-24T03:39:06.696Z	SCHEDULER #18	D-482 findings: quoted keys in check-refusal-codes; quoted identifiers in run-conditions
M0-145	2026-09-24T03:39:06.696Z	SCHEDULER #18	D-482 findings: quoted keys in check-refusal-codes; quoted identifiers in run-conditions
M0-146	2026-09-24T04:21:25.262Z	SCHEDULER #18	WORKER.md scratch path vs gates §2e
M0-147	2026-09-24T04:25:35.736Z	SCHEDULER #18	New-Year straddle in mint-ledger/opaque-ids suites (D-487)
M0-148	2026-09-24T04:26:49.363Z	SCHEDULER #18	R3-FED walk keys on literals
M0-149	2026-09-24T04:49:50.949Z	SCHEDULER #18	meaning-bounds: BOUNDED roster publishes bound; UNJUDGED bucket ratchet
M0-150	2026-09-24T04:49:50.949Z	SCHEDULER #18	meaning-bounds: BOUNDED roster publishes bound; UNJUDGED bucket ratchet
M0-151	2026-09-24T05:02:04.011Z	SCHEDULER #18	observation-log.test two sections labelled I
M0-152	2026-09-24T05:15:36.768Z	SCHEDULER #18	fleetbundles.control arm 5(b) reads suite whole (M0-143 finding)
M0-153	2026-09-24T05:22:46.709Z	SCHEDULER #18	selectReaders counts an M-id in suite comments
M0-154	2026-09-24T05:34:03.186Z	SCHEDULER #18	gate fixture repos copy tools from a hand-kept list (M0-146 finding)
M0-155	2026-09-24T05:53:55.532Z	SCHEDULER #18	construct probes read comments; refusal codes minted outside governed regions
M0-156	2026-09-24T05:53:55.532Z	SCHEDULER #18	construct probes read comments; refusal codes minted outside governed regions
